,original_sents,sentences,weights
471,"great quality honest italian food, generous portions, great prices",quality food portions prices,8.88470533674
293,my extensive knowledge,knowledge,8.68266398105
219,food and faboulous portions,food portions,8.60169760373
252,smaller groups,groups,8.04338436067
220,a fast food restaurant,food restaurant,7.91365405195
224,"food and good value eatery, nothing",food value eatery nothing,7.91365405195
542,a huge smile and great banter.the food is fresh and tasty - my husband,smile banter.the food husband,7.83557751174
214,excellent food and great background music,food background music,7.76059697328
422,my whole perception,perception,7.73384939887
223,"amazing food, friendly staff, reasonable prices",food staff prices,7.62078690162
453,excellent portion sizes,portion sizes,7.55106497507
217,the food - garlic bread,food garlic bread,7.52766148264
353,old movie posters,movie posters,7.5020971519
637,vat registered?food,vat food,7.44842343176
216,food very fresh and lovely flavours,food flavours,7.37237071463
452,a large portion,portion,7.36421435876
454,generous portions,portions,7.36421435876
101,the local community,community,7.27785185989
218,busy and good food special lunch deal,food lunch deal,7.24207422541
368,top notch food,notch food,7.24207422541
268,homemade italian food,homemade food,7.24207422541
213,. great food,food,7.24207422541
537,simple food,simple food,7.24207422541
38,the boss and good care and good food,boss care food,7.24207422541
215,excellent food and excellent company,food company,7.24207422541
563,very friendly staff food,staff food,7.24207422541
630,great value italian food,value food,7.24207422541
37,the usual boring italian food,boring food,7.24207422541
470,a great quality authentic italian food,quality food,7.24207422541
231,really good fresh food,fresh food,7.24207422541
221,food ok. good service,food service,7.24207422541
475,"quick, clean, marvelous food",quick food,7.24207422541
222,great food great staff,food staff,7.24207422541
595,such authentic tasty italian food,tasty food,7.24207422541
601,a positive thing,thing,7.22513193323
366,all night trip advisor,night trip advisor,7.10437700818
676,my 11 year old daughter,year daughter,7.10142916238
51,my recent business trip to north london,business trip london,6.93368463244
416,a pasta - both generous sizes,pasta sizes,6.93171348523
396,"very friendly owner and staff, good prices",owner staff prices,6.80286480311
513,a cold saturday evening,saturday evening,6.7769734951
233,an amazing friday evening,friday evening,6.7769734951
169,the evening specials,evening specials,6.77302984616
185,a nice family run business,family run business,6.76502070872
297,very high levels,levels,6.7358649214
677,21 year olds,year olds,6.67813390876
348,a mixture,mixture,6.66420174223
245,a very nice gesture,gesture,6.64227591781
273,the hotel room,hotel room,6.63801347477
116,"fried courgette) and deep-fried calamari, both superb and extremely generous servings",courgette calamari superb servings,6.61010797323
479,a good rapport,rapport,6.5655591619
415,excellent home-style pasta and pizza dishes,pasta pizza dishes,6.55212258977
202,fiddie's a few weeks,fiddie weeks,6.5269734951
659,2 weeks,weeks,6.5269734951
607,relatively low waiting times,times,6.5269734951
660,a few weeks' time,weeks time,6.5269734951
168,a wonderful evening,evening,6.5269734951
167,a great eve,eve,6.5269734951
365,a saturday night,night,6.5269734951
349,a few months,months,6.5269734951
652,the first warm night,warm night,6.5269734951
198,fiddie's last night,fiddie night,6.5269734951
238,such a fun bubblyatmosphere,fun,6.51231683482
489,special requests,requests,6.49755238737
249,goodness,goodness,6.49713301838
635,value.the cypriot owner,value.the cypriot owner,6.49588733613
394,the owner gentleman,owner gentleman,6.48160162185
336,big and good memories,memories,6.44600223311
518,only the seafood options,seafood options,6.37221758102
173,everything!the owner,everything owner,6.36731590756
447,the pleasant owner,pleasant owner,6.36731590756
392,owner run,owner,6.36731590756
263,the hearty italian owner,hearty owner,6.36731590756
393,the owner fiddie,owner fiddie,6.36731590756
663,the welcoming owner,welcoming owner,6.36731590756
395,the owner neo,owner neo,6.36731590756
283,the simple italian-food lovers,italian-food lovers,6.35876889901
235,friends,friends,6.35144289169
110,swiss cottage and finchley road,cottage finchley road,6.33881600441
288,justice,justice,6.32300777786
184,"the best, family friendly restaurants",family restaurants,6.27312921301
186,not the usual cosy family style italian restaurant,family style restaurant,6.27312921301
412,pasta - i,pasta i,6.26636577201
175,my expectations,expectations,6.2584751995
318,the lunchtime specials,lunchtime specials,6.25722361535
157,some free drinks!the menu,drinks menu,6.23236419359
411,pasta dishes,pasta dishes,6.21869712212
151,the charming dispute,dispute,6.20968424138
135,fancy decorations,decorations,6.20788115505
102,my companion's pasta,companion pasta,6.18910131098
331,meat and sea-food as well as pizzas,meat sea-food pizzas,6.1884344483
5,frank advice,advice,6.18354618167
6,just one advice book,advice book,6.18354618167
228,italian foods,foods,6.17905452756
529,the shard family,shard family,6.16973407137
190,an early father's day meal,father day,6.15594080535
330,meat and fish main dishes,meat dishes,6.14710982054
250,a very warm greeting,greeting,6.1317757299
105,your conversation,conversation,6.12831041215
49,business,business,6.12589050552
50,a recent business trip,business trip,6.12589050552
290,kids pizzas,kids pizzas,6.11933469459
559,a spicy sausage pasta,spicy sausage pasta,6.10604683169
598,the nutty texture,texture,6.10547644057
227,italian food.in summary,food.in summary,6.09622017435
584,a late sunday afternoon,sunday afternoon,6.09613783222
109,swiss cottage area,cottage area,6.08389735185
636,a good variety,variety,6.07996078559
104,the perfect consistency,consistency,6.07996078559
92,first class,class,6.07996078559
23,authenticity,authenticity,6.07996078559
53,any black cab drivers,cab drivers,6.07208364155
302,an instant liking,liking,6.06795427358
359,the mussel pasta,mussel pasta,6.06260981935
519,my seafood pasta,seafood pasta,6.05547617428
405,just some small particles,particles,6.0526289964
122,our only criticism,criticism,6.04818191631
64,a carbonara pasta dish,carbonara pasta dish,6.038207143
409,pasta carbonara,pasta carbonara,6.038207143
183,a special family meal,family meal,6.03454888511
521,small - only 30 seats,seats,6.0295493901
12,the antipasto beautiful presentation,antipasto presentation,6.01357710591
527,the very generous servings,servings,5.98722990536
67,usual chain pizza places,chain pizza places,5.96824080878
432,a few pieces,pieces,5.96057983967
602,the hardest things,things,5.95519041574
672,good wine selection,wine selection,5.94231833544
522,a small but very good selection,selection,5.94231833544
232,fresh/homemade pasta,fresh/homemade pasta,5.92659628224
410,another pasta dish,pasta dish,5.92659628224
413,the pasta moist,pasta moist,5.92659628224
87,the chicken/mushroom/cream pasta,chicken/mushroom/cream pasta,5.92659628224
414,a pasta pasta,pasta pasta,5.92659628224
408,fresh pasta,pasta,5.92659628224
530,complimentary shot,shot,5.9034760997
600,thanks,thanks,5.9034760997
547,our son's first holy communion,son holy communion,5.87396718024
599,textures,textures,5.85932259441
286,a few jokes,jokes,5.85863775676
132,few days,days,5.85356674304
678,new years,years,5.85356674304
664,a short while,while,5.85356674304
35,my booking,booking,5.84517486254
556,the specials,specials,5.83482823295
20,a great atmosphere!i,atmosphere i,5.83279500039
485,a relax ambience,relax ambience,5.82928342062
361,our gluten-free dietary needs,needs,5.82928342062
308,another central london restaurant,london restaurant,5.82907298181
208,such a strong flavour dressing,flavour dressing,5.80498163572
193,our favourite restaurants,favourite restaurants,5.80186209746
309,london suisse cottage,london suisse cottage,5.79399248786
32,chewable hard bits,bits,5.78210170023
144,fine dining or grand surroundings,dining surroundings,5.77423106987
581,a high street cafe,street cafe,5.76604191834
380,ok prices,ok prices,5.7616347686
481,a very friendly reception,reception,5.75577360204
501,a main road,road,5.75577360204
113,swiss cottage/finchley road,cottage/finchley road,5.75577360204
41,his brand new and quite small establishment,brand establishment,5.75207105359
561,two neighbourhood spots,spots,5.75207105359
166,another establishment,establishment,5.75207105359
673,a big winner,winner,5.74723581243
320,mains,mains,5.74398018457
289,the kids,kids,5.73844460364
490,any other requirements,requirements,5.73828433146
99,come.the warmth,come.the warmth,5.72605549767
653,great warmth,warmth,5.72605549767
488,an excellent reputation,reputation,5.69725623878
134,lovely decor,decor,5.68921695122
482,great recommendations,recommendations,5.66961809909
593,plastic-topped tables,tables,5.6666773098
89,the chocolate cake,chocolate cake,5.66445757768
553,spaghetti napoli,spaghetti napoli,5.64928566594
106,very good italian cooking,cooking,5.62731079902
267,real italian home cooking,home cooking,5.62731079902
439,a great basic pizza restaurant,pizza restaurant,5.62204269996
74,a great chat,chat,5.61507597455
265,a real hidden gem,hidden gem,5.59577513529
242,a hidden gem,gem,5.59577513529
625,satisfied tums,tums,5.59375158236
119,main courses,courses,5.5834760997
443,other places,places,5.5822695417
16,the local area,area,5.57856951804
667,the wider london area,wider area,5.57856951804
154,about a dozen vegetarian sauces,dozen vegetarian sauces,5.57415559846
28,great banter,banter,5.54821569197
461,friendly enough and prices,prices,5.54707387083
520,the additional seasoning,seasoning,5.53907550491
476,a quick and early supper,quick supper,5.53865498813
61,usual calamari rings,calamari rings,5.53305741261
364,an italian newspaper,newspaper,5.5289945343
589,casual surroundings,surroundings,5.52722911242
464,some electrical problems,problems,5.52722911242
1,the 'excellent' rating,'excellent rating,5.52722911242
557,speech,speech,5.51251187198
338,great menu choice,menu choice,5.50801550432
337,extensive menu,menu,5.50801550432
549,a real soul,soul,5.50008382384
582,the high street chains,street chains,5.4954905212
279,ingredients,ingredients,5.4947760237
206,its fresh fish ingredients,fish ingredients,5.4947760237
483,a very refreshing atmosphere,refreshing atmosphere,5.49302551062
19,the atmosphere,atmosphere,5.49302551062
486,a relaxed atmosphere,relaxed atmosphere,5.49302551062
271,great host and great atmosphere,host atmosphere,5.49302551062
9,the amazing atmosphere,amazing atmosphere,5.49302551062
457,"prawn cocktail .... delicious juicy, fresh prawns",prawn cocktail juicy prawns,5.48873308791
373,different occasions,occasions,5.48802022993
182,long lost family,family,5.47968062915
30,"""happy birthday "" aim",birthday aim,5.47310117686
29,happy birthday,birthday,5.47310117686
552,the spaghetti carbonara,spaghetti carbonara,5.46881582968
22,his friendly attitude,attitude,5.46592070969
669,"free wifi as well
excellent hospitality",wifi hospitality,5.44622994867
426,a genuine and professional person,person,5.43949922326
17,open arms,arms,5.4377462411
386,many orders,orders,5.41291645918
505,’s italian kitchen,s kitchen,5.41283568535
261,the terrible hangover,hangover,5.39769462466
335,the other members,members,5.39260428833
281,good inroads,inroads,5.37256234953
379,"ok, slight exaggeration",ok exaggeration,5.36733464811
125,a regular customer,customer,5.35961109105
126,great customer service,customer service,5.35961109105
225,".
amazingly delicious food. great customer service",food. customer service,5.35961109105
127,other customers,customers,5.35961109105
554,spaghetti vongole,spaghetti vongole,5.3531174892
551,spaghetti,spaghetti,5.3531174892
555,spaghetti vongule,spaghetti vongule,5.3531174892
18,her arrabiata penne dish,arrabiata penne dish,5.3531174892
480,the vegatarian ravioli,ravioli,5.3531174892
666,the wholemeal penne,wholemeal penne,5.3531174892
419,gluten-free penne,penne,5.3531174892
84,chicken linguine,chicken linguine,5.3531174892
516,italian sausage,sausage,5.35153018761
354,perfect - really nice mozzarella,mozzarella,5.34387986997
403,parmesan,parmesan,5.34387986997
609,tomato salad,tomato salad,5.33554439703
156,soft drinks,drinks,5.33451753828
642,future visits,visits,5.32569504575
643,three visits - all delicious and very good value,visits value,5.32569504575
362,a rather poor supposedly italian neighbourhood café/small restaurant,neighbourhood café/small restaurant,5.31193029581
54,a caesar salad,caesar salad,5.30410956673
334,a strong meaty flavour,meaty flavour,5.29865768384
207,a much stronger flavour,flavour,5.29865768384
96,his equally appropriately attentive colleague,colleague,5.29736619309
668,"the ""beautiful wife",wife,5.2920373949
638,vegetables,vegetables,5.28790525046
260,capable hands,hands,5.28117675618
329,great meals,meals,5.2803885203
310,our london trip,london trip,5.27015530874
307,north london,london,5.27015530874
131,our long day,day,5.27015530874
60,calamari fritti - deep fried calamari,calamari calamari,5.26589944409
59,calamari and garlic bread,calamari bread,5.26589944409
58,excellent calamari,calamari,5.26589944409
388,others' reviews,others reviews,5.26410402459
499,the reviews,reviews,5.26410402459
243,a true gentleman,gentleman,5.25666324524
620,tricolour salad,tricolour salad,5.25662410483
617,town,town,5.24294442438
192,my favourite,favourite,5.24294442438
543,a real genuine smiling host,smiling host,5.23268455644
341,mickey mouse pizzas,mickey mouse pizzas,5.2155682856
123,cuisine,cuisine,5.18277508338
124,my favourite cuisines,cuisines,5.18277508338
284,three italians,italians,5.16992855137
656,watermelon salad,watermelon salad,5.16531697173
257,"the most pleasant , funny and generous guys",guys,5.16142515001
269,your amazing hospitality,hospitality,5.16097219688
585,superb hospitality,superb hospitality,5.16097219688
178,this great experience - fine hospitality,experience hospitality,5.16097219688
79,the chef's special homemade tiramisu,chef homemade tiramisu,5.15807714041
510,fresh salmon,salmon,5.15551422892
21,the personal attention,attention,5.15372851464
282,a good italian restaurant,italian restaurant,5.13852249446
68,the large chain restaurants,chain restaurants,5.13852249446
129,"a modern, clean cut restaurant",cut restaurant,5.13852249446
107,a very nice cosey restaurant,cosey restaurant,5.13852249446
491,a lovely local restaurant,restaurant,5.13852249446
492,its airconditioned - very clean restaurant - price,restaurant price,5.13852249446
495,restaurants,restaurants,5.13852249446
159,an independent italian eatery,eatery,5.13852249446
199,fiddie's restaurant,fiddie restaurant,5.13852249446
632,a good value italian restaurant,value restaurant,5.13852249446
440,this simple pizza/pasta restaurant,pizza/pasta restaurant,5.13852249446
187,not a fancy restaurant,fancy restaurant,5.13852249446
548,2 young sons,sons,5.1368219754
237,the fullness,fullness,5.12991899083
93,some good italian classics,classics,5.12752156335
436,a simple pizza margarita,pizza margarita,5.12624416665
234,a very good friend,friend,5.12605100035
590,the uninspiring surrounds,surrounds,5.12197913423
163,a really lovely environment,environment,5.12197913423
196,fiddie's insouciance,fiddie insouciance,5.12113471954
254,all guests,guests,5.12049544479
538,site,site,5.12042056208
303,lincolnshire,lincolnshire,5.11814426695
165,essex,essex,5.11814426695
136,its deliciousness,deliciousness,5.11801422892
0,a 100% free meal,% meal,5.11297874937
328,a great meal,meal,5.11297874937
291,17 different kinds,kinds,5.10891590346
139,complimentary deserts,deserts,5.10613943615
8,a strong aftertaste,aftertaste,5.1043734152
578,fresh strawberry sauce,strawberry sauce,5.10125459966
487,a relaxed dinner,relaxed dinner,5.09973621064
145,an early dinner,dinner,5.09973621064
146,our dinner experience,dinner experience,5.09973621064
569,5 stars,stars,5.09542403468
437,the open pizza oven,pizza oven,5.09312401969
424,perfection,perfection,5.08902508338
580,a busy street,street,5.07592668684
628,their san valentine,valentine,5.0714946374
345,a few minutes,minutes,5.06672662763
272,the hotel,hotel,5.06033621995
230,less than forty quid,forty quid,5.04167667758
274,being half hour early.fantastic host service,hour host service,5.03616202601
615,the toppings average,toppings average,5.02893099119
614,the toppings,toppings,5.02893099119
458,premium toppings,premium toppings,5.02893099119
496,a deservedly busy restraint,restraint,5.01580366809
287,a special journey,journey,5.01385701616
97,central college,college,4.99416908643
528,shabby chic furniture,shabby furniture,4.98071963448
299,the lighting,lighting,4.97544237842
384,free options,options,4.97035441851
332,some more formal meat/fish/veggie options,meat/fish/veggie options,4.97035441851
162,his positive energy,energy,4.96924231667
171,an extremely rare event,event,4.96924231667
546,the most customized solution,solution,4.94769805257
512,saturday evening,saturday,4.9473035337
448,a pleasure,pleasure,4.94638517382
14,the mixed appetizer plate,appetizer plate,4.94332773732
15,appetizers,appetizers,4.94332773732
194,the most striking feature,feature,4.94086435904
244,george clooney's much younger greek brother,george clooney brother,4.93710957133
586,superb pizza,superb pizza,4.93110551509
619,the tricolore salad,tricolore salad,4.93110551509
33,a spaghetti bolognaise topped pizza,bolognaise pizza,4.93110551509
86,the chicken schnitzel,chicken schnitzel,4.93110551509
276,the house salad,house salad,4.93110551509
433,amazing pizza,pizza,4.93110551509
435,pizza express,pizza express,4.93110551509
434,garlic pizza bread,pizza bread,4.93110551509
246,oil.the gigis pizza,gigis pizza,4.93110551509
566,your standard pizza,standard pizza,4.93110551509
441,pizzas,pizzas,4.93110551509
508,salads,salads,4.93110551509
438,the best pizza place,pizza place,4.93110551509
532,the side salad,side salad,4.93110551509
500,risotto,risotto,4.93110551509
507,a salad,salad,4.93110551509
333,some delicious meatballs,meatballs,4.93110551509
164,an espresso,espresso,4.92808240626
558,a big spender,spender,4.91966248138
253,not only his best guest,guest,4.91966248138
188,big fans,fans,4.9112285047
509,a salami,salami,4.90273600341
650,white walls,walls,4.88750241976
150,the fish dishes,dishes,4.87739465537
82,two different chicken dishes,chicken dishes,4.87739465537
469,high quality dishes,quality dishes,4.87739465537
597,a huge and tender steak,tender steak,4.8670217177
639,being vegetarians,vegetarians,4.86617041789
430,various italian-themed pictures,pictures,4.86456691223
417,pastas,pastas,4.8422166262
428,personality,personality,4.83651433323
407,passionate italian chefs,passionate chefs,4.83196737556
78,the sicilian chef,chef,4.83196737556
80,the chefs,chefs,4.83196737556
294,my good lady,lady,4.83121908382
322,a lovely manager,manager,4.83121908382
36,your boots,boots,4.82445211631
114,multiple countries,countries,4.82130723222
572,our starter - an innovative dish,starter dish,4.81838063867
48,excellent bruschetta starter,bruschetta starter,4.81838063867
571,a starter,starter,4.81838063867
626,various types,types,4.81156609245
153,a top dozen place,dozen place,4.80463964055
382,even just italian ones,ones,4.80463964055
121,light crispy batter,crispy batter,4.80171885493
591,swansea,swansea,4.789345461
544,four different snacks,snacks,4.77862535636
147,vegetarian and vegan dinners,dinners,4.77862535636
88,proper belgian chocolate,chocolate,4.77734079802
605,first time diners,time diners,4.777281529
141,my fellow diners,diners,4.777281529
240,the garlic mushrooms,garlic mushrooms,4.77327498811
360,good nature,nature,4.76044292329
264,various herbs,herbs,4.75968167849
278,an italian i,i,4.74796125611
680,later.fiddie’s,’ s,4.74796125611
55,a small cafe,cafe,4.74529189986
306,a very good location,location,4.74304789147
640,busy little venue,venue,4.74158599824
140,two- not one diner,diner,4.71588013515
398,lovely owners,owners,4.70609105281
355,the lovely mr,mr,4.68825422328
301,the likes,likes,4.67267720356
466,n't another pub,pub,4.65607621358
111,swiss cottage station,cottage station,4.65607621358
112,swiss cottage tube,cottage tube,4.65607621358
108,the swiss cottage,cottage,4.65607621358
44,vibrant bright colours,bright colours,4.63998727801
98,either dull black and white colours,colours,4.63998727801
292,italian kitchen,kitchen,4.63133298296
210,the whole floor,floor,4.63133298296
197,fiddie's italian kitchen,fiddie kitchen,4.63133298296
13,humble appearance,appearance,4.62814739623
160,a big elvis fan,elvis fan,4.62718782825
326,great marina sauce,marina sauce,4.60752345915
402,easy parking,parking,4.59697478267
143,this the best italian dining experience,dining experience,4.58608186206
142,casual dining,dining,4.58608186206
91,my main choice.the cheesecake,choice.the cheesecake,4.58196323506
76,the cheesecake,cheesecake,4.58196323506
77,the cheesecake - homemade,cheesecake homemade,4.58196323506
236,no frills,frills,4.57774852873
66,the dual carriageway,carriageway,4.5641060922
317,their brilliant lunchtime special,lunchtime,4.55954713846
181,the latest fads,fads,4.55886337777
343,a super minestrone soup,minestrone soup,4.54201478819
655,free watermelon,watermelon,4.5175141543
608,tiramisu,tiramisu,4.51185605803
504,his rounds,rounds,4.50927023264
46,perfectly-cooked broccoli,broccoli,4.50423369489
339,similar menus,menus,4.4970432852
305,locals,locals,4.49139220424
568,long standing locals,standing locals,4.49139220424
311,londoners,londoners,4.49031087942
498,other reviewers,reviewers,4.48381737292
648,the lovely waitress,waitress,4.47778562689
649,neo`s waitress emma,waitress emma,4.47778562689
239,garlic,garlic,4.47410271108
623,a few different tubes,tubes,4.45696323506
152,downsides,downsides,4.45690877107
484,regulars,regulars,4.43811751722
577,strawberries,strawberries,4.4175141543
610,a rich tomato sauce,tomato sauce,4.41429044379
611,a tomato sauce .exemplary service,tomato sauce service,4.41429044379
56,an ordinary caff,caff,4.38576661515
62,outstanding especially the calves liver,calves,4.35037220438
69,all the different chains,chains,4.30469201802
248,two glasses,glasses,4.28691424024
451,the flavoursome porcini mushrooms,porcini mushrooms,4.23876620632
400,all'aglio - pan fried mushrooms,pan mushrooms,4.23876620632
358,pan-fried mushrooms,mushrooms,4.23876620632
137,also deliciouss,deliciouss,4.20447629742
679,fried zucchini,zucchini,4.18904078444
404,garlic parsley,parsley,4.17256072346
627,the uk,uk,4.13649171224
378,ok,ok,4.12976902316
418,the chilled pea soup,pea soup,4.10454693246
515,fish sauces,sauces,4.09849320172
95,italian coffee,coffee,4.07807634422
191,the only fault,fault,4.07153079274
25,2 x avocado starters,avocado starters,4.03220589521
573,the starters,starters,4.03220589521
446,all plates,plates,3.9997510951
40,no soggy bottoms,bottoms,3.98575644533
474,a small queue,queue,3.90055245431
624,a happy tummy,tummy,3.88891125244
374,octopus,octopus,3.81650027421
351,a few moths,moths,3.81187064458
391,a very well-balanced oven,oven,3.73232647277
300,bright lights,lights,3.67017519696
117,fried courgettes,courgettes,3.50705900549
73,the charming italiankjersti,charming italiankjersti,0.0
603,thx,thx,0.0
604,a long time,time,0.0
425,a cold peroni,peroni,0.0
606,the first time yeaterday,time yeaterday,0.0
357,fried mushroom,mushroom,0.0
423,perfect,perfect,0.0
75,cheese,cheese,0.0
421,black pepper,pepper,0.0
420,lovely people,people,0.0
612,this too.we,too.we,0.0
613,top,top,0.0
465,prosecco,prosecco,0.0
83,the chicken escalope,chicken escalope,0.0
72,a real character,character,0.0
616,a nice touch,touch,0.0
71,a small challenge,challenge,0.0
618,town.never,town.never,0.0
70,no high chair,chair,0.0
363,our lovely neo,neo,0.0
621,my next trip,trip,0.0
622,tripadvisor,tripadvisor,0.0
367,top noch,noch,0.0
369,a high note,note,0.0
370,nothing pre,nothing pre,0.0
81,chicken escalope,chicken,0.0
85,a chicken primavera,chicken primavera,0.0
371,short notice,notice,0.0
587,"superb
great value",superb value,0.0
576,a short stop,stop,0.0
347,the mix,mix,0.0
128,the customers.everything,customers.everything,0.0
579,strawberrygirl,strawberrygirl,0.0
120,another cream based pasta dish,cream dish,0.0
118,the first and last course,course,0.0
583,true italian style,style,0.0
115,another couple,couple,0.0
350,my mother,mother,0.0
431,such a piece,piece,0.0
588,the real surprise,surprise,0.0
90,limited choice,choice,0.0
352,the exact same mouth,mouth,0.0
103,my only concern,concern,0.0
100,a constructive comment,comment,0.0
592,another table,table,0.0
429,the personel,personel,0.0
594,the real italian taste,taste,0.0
427,personalisation,personalisation,0.0
596,a taxi,taxi,0.0
94,bright clean and modern ideal,clean ideal,0.0
356,a lovely mug,mug,0.0
65,good care,care,0.0
63,the vegetarian calzone,calzone,0.0
574,an absolute steal,steal,0.0
399,an extra pair,pair,0.0
657,great way,way,0.0
658,the hot weather,weather,0.0
34,book,book,0.0
31,a small bite,bite,0.0
661,a warm welcome,welcome,0.0
662,a welcoming guy,welcoming guy,0.0
27,the background,background,0.0
26,congratulatory mass-eating award,award,0.0
665,the whole,whole,0.0
397,the owner/manger,owner/manger,0.0
24,the avocado bruschetta,avocado bruschetta,0.0
387,the otheri,otheri,0.0
11,- the best anti pasti,anti pasti,0.0
670,ice-cold wind.staff,wind.staff,0.0
671,delicious wine,wine,0.0
10,a huge amount,amount,0.0
7,afew,afew,0.0
674,the good work,work,0.0
675,an amazing wowcher offer,wowcher offer,0.0
4,a normal adult chair,adult chair,0.0
3,also delicious -i,-i,0.0
2,the only other 'feature,'feature,0.0
389,ourselves,ourselves,0.0
39,the bother,bother,0.0
654,sparkling water,water,0.0
629,great value,value,0.0
401,real pancetta,pancetta,0.0
372,the same number,number,0.0
631,great value lunch deal,value lunch deal,0.0
57,a fairly basic café,café,0.0
633,excellent value.fiddies,value.fiddies,0.0
634,value.owner,value.owner,0.0
375,a special offer,offer,0.0
376,olive oil,oil,0.0
52,",c00219805,linccloud02.win.louisiana.edu,02.11.2017 17:00,file:///home/linc",c00219805 file ///home/linc,0.0
47,the bruschetta,bruschetta,0.0
377,lovely olive oil!overall,oil overall,0.0
381,a gluten-free one,one,0.0
641,my second visit,visit,0.0
45,brilliant and very friendly service,brilliant service,0.0
406,one big party,party,0.0
644,this linguine vongole,vongole,0.0
645,a slight wait,wait,0.0
646,the excellent wait staff,wait staff,0.0
647,the waiter/owner,waiter/owner,0.0
383,the complete opposite,opposite,0.0
385,reverse alphabetical order,order,0.0
43,our short break,break,0.0
651,the warm and super friendly host,warm host,0.0
42,garlic bread,bread,0.0
575,the good full stomach,stomach,0.0
346,a small mistake,mistake,0.0
467,a big punch,punch,0.0
494,a very popular restaurant.we,restaurant.we,0.0
258,a half,half,0.0
497,this review,review,0.0
316,a special lunch offer,lunch offer,0.0
256,a nice guy,guy,0.0
255,our only guide,guide,0.0
251,a big group,group,0.0
502,a free round,round,0.0
503,a good 2 1/2 round trip,round trip,0.0
456,a high position,position,0.0
455,large portions.compliments,portions.compliments,0.0
506,sacre,sacre,0.0
247,first glance,glance,0.0
241,a lovely gavi,gavi,0.0
319,lunchtinemisses,lunchtinemisses,0.0
321,such a lovely man,man,0.0
511,more salt care,salt care,0.0
229,top form,form,0.0
226,the food.hot,food.hot,0.0
514,a lovely rich sauce,sauce,0.0
450,pollo primavera sauce,pollo primavera sauce,0.0
212,the flow,flow,0.0
517,great save,save,0.0
211,self-rising flour,flour,0.0
259,hampstead,hampstead,0.0
493,this restaurant.a wonderful welcome,restaurant.a welcome,0.0
130,the perfect date,date,0.0
262,this a regular haunt,haunt,0.0
468,great quality,quality,0.0
312,a clean look,look,0.0
313,a lot experience,lot experience,0.0
463,affordable prizes.we,prizes.we,0.0
472,good quality olive oil,quality oil,0.0
473,always same quality.see,quality.see,0.0
462,excellent prices. lovely service,prices. service,0.0
314,a lot more up west,lot west,0.0
304,my top 10 list,list,0.0
477,a wide range,range,0.0
478,the high ranking,ranking,0.0
460,the same price range,price range,0.0
298,a bright light,light,0.0
296,such a thin layer,layer,0.0
295,a good laugh,laugh,0.0
459,a reasonable price,price,0.0
315,a very quick lunch,lunch,0.0
285,a joke,joke,0.0
280,fresh ingridients,ingridients,0.0
277,the house white wine,house wine,0.0
275,the house,house,0.0
270,host,host,0.0
266,a mere hint,hint,0.0
449,its point,point,0.0
209,true flavour.they,flavour.they,0.0
205,mixed fish,fish,0.0
204,a great find,find,0.0
172,everything,everything,0.0
550,modern looking space,space,0.0
170,a sunday evening.very friendly atmosphere,evening.very,0.0
161,the higher end,end,0.0
445,the plate.mainslinguine vongole,plate.mainslinguine vongole,0.0
158,a quick eat,eat,0.0
155,a soft drink,drink,0.0
444,a plate,plate,0.0
149,this same dish,dish,0.0
148,a small discount,discount,0.0
325,a basic margherita,margherita,0.0
560,this tiny new spot,spot,0.0
442,a nice place,place,0.0
562,staff,staff,0.0
327,a higher mark,mark,0.0
564,stand-offishness,stand-offishness,0.0
565,standard fare,standard fare,0.0
138,a delight,delight,0.0
567,that standard.however,standard.however,0.0
342,pollo milanese-,milanese-,0.0
344,the last minute,minute,0.0
570,a great start,start,0.0
133,the special deal,deal,0.0
174,main dish excellent,excellent,0.0
176,the expense,expense,0.0
177,an experience,experience,0.0
533,the first sight,sight,0.0
523,a brilliant sense,sense,0.0
524,pleasant serivce,serivce,0.0
525,the service,service,0.0
526,great service and friendly staff,service staff,0.0
203,fiddies,fiddies,0.0
201,fiddie's another visit,fiddie visit,0.0
200,fiddie's service,fiddie service,0.0
323,manager/owner,manager/owner,0.0
531,a large shower group,shower group,0.0
195,booked fiddie,fiddie,0.0
534,always a good sign,sign,0.0
545,sober but cozy interior. extremely nice service,sober interior. service,0.0
535,a good sign).we,sign .we,0.0
536,simple décor,simple décor,0.0
390,the outside,outside,0.0
189,simple italian fare,fare,0.0
539,just the right size,size,0.0
540,a crusty slice,slice,0.0
541,huge smile,smile,0.0
324,the manager/owner name,manager/owner name,0.0
180,fab house,fab house,0.0
179,fab,fab,0.0
340,a charming message,message,0.0
